行ID,文書ID,文書内ID,anotation1,anotation2,文,サービス,立地,部屋,設備・アメニティー,風呂,食事,その他
,,,,,,,,,,,,
475,98,1,p,p,朝食が最高においしかったです。,,,,,,1,
476,98,2,p,o,家族みんなでごはんをおかわりしてしまいました。,,,,,,1,
477,98,3,p,p,家族みんなが大満足の朝食でした。,,,,,,1,
478,98,4,k,k,部屋は、、、禁煙ツインルームを予約したのに部屋がタバコ臭くて慣れるまで大変でした。,,,1,,,,
479,98,5,k,k,２部屋に分かれて宿泊したので隣り合った部屋がここしかなかったのかなとあきらめましたけれど。。,,,1,,,,
,,,,,,,,,,,,
480,99,1,p,p,温泉・お部屋・食事、どれもすべて満足で、大変よかったのですが、夜の12時頃にもう一度露天風呂に入りたくて露天風呂に入りに行きました。,,,,,1,,
481,99,2,p,p,夜中ということもあり、私（女性）一人で露天風呂を満喫できるひと時がありました。,,,,,1,,
482,99,3,pe,Z,とても嬉しくて満喫していたのですが、脱衣所に人の気配がしたのでふと見ると、守衛さんが見回っておられました。,,,,,1,,
483,99,4,e,Z,遠目だったので自信はないですが、男の人だったように思います。,,,,,,,1
484,99,5,e,Z,脱衣所を一通り見回ったあと、大浴場の中に入って行かれました。,,,,,1,,
485,99,6,k,k,その時は露天風呂に私一人だったので、露天風呂まで来られたらどうしよう、と不安になり、それまで楽しかったいい気分も一気に冷めてしまいました。,,,,,1,,
486,99,7,k,k,入口で草履を脱いで置いてあるので、誰かがお風呂を利用しているのはわかるはずです。,,,,,1,,
487,99,8,y,y,セキュリティの観点から見回りされるのは全く問題ありませんが、女風呂を見回る方は、女性にしてほしいです。,,,,,1,,
488,99,9,k,k,夜間という時間帯でなかなか難しいとは思いますが、気分が悪かったです。,1,,,,,,
489,99,10,Z,Z,見回りされていた守衛さんが女性だったのなら、私の勘違いなのですが・・・。,1,,,,,,
,,,,,,,,,,,,
490,100,1,p,p,お値段がお手頃の割に部屋が広く綺麗でした。,,,1,,,,
491,100,2,p,Z,イクスピアリで遊んでホテルへ移動でしたが、舞浜駅から乗ったバスで、すぐに着きました。,,1,,,,,
492,100,3,p,p,無料で行けたのは嬉しかったです。,,,,,,,1
493,100,4,k,k,次の日、シーで遊ぶ予定でしたがシーへ行くバスが無いのは残念。,1,,,,,,
494,100,5,kp,e,モノレールがあるので仕方がないのですが…また機会があれば是非泊まりたいです。,,,,,,,1
,,,,,,,,,,,,
495,101,1,Z,Z,今回、食事つきプランで宿泊しました。,,,,,,,1
496,101,2,Z,Z,食事は、素泊まりのときと同じく中華料理にしました。,,,,,,1,
497,101,3,p,p,メニューは盛りだくさんで、単品で頼むよりかなりのお得感があり、とても満足でした。,,,,,,1,
498,101,4,p,p,お風呂上りには、整体でほぐしてもらい、本当にプチ贅沢でした。,,,,,1,,
499,101,5,p,p,平日は、人が少ない感じでゆっくり出来てよかったです。,,,,,,,1
500,101,6,y,k,食事については、お膳タイプにしてありましたが、小皿で並べていただけると、嬉しいかもと思いました。,,,,,,1,
501,101,7,p,p,メニューはとても良かったです。,,,,,,1,
,,,,,,,,,,,,
502,102,1,p,p,立地的には広島の繁華街、流川・薬研堀の近くで申し分ない。,,1,,,,,
503,102,2,p,p,平和大通りからでも1本裏手に入るだけなので分かりやすい。,,1,,,,,
504,102,3,e,e,部屋は広さやベッドの大きさなど、問題はない。,,,1,,,,
505,102,4,ke,e,浴場も広いわけではないが、宿泊者で大混雑するわけではないので大丈夫だ。,,,,,1,,
506,102,5,p,p,朝食は洋食をいただいたが、品数も味もちょうどよかった。,,,,,,1,
507,102,6,p,p,美味しくいただいた。,,,,,,1,
508,102,7,y,y,欲を言えば、部屋に冷蔵庫をつけてほしいのと、バスタオルをつけてほしい。,,,,1,,,
509,102,8,ky,y,それから、トイレや洗面所の位置が最初は分かりにくかったので、もう少し分かりやすく部屋に表示していただけると有難い。,,,,1,,,
510,102,9,p,p,安値で泊まらせていただいたので、コストパフォーマンス的には大変満足しております。,,,,,,,1
,,,,,,,,,,,,
511,103,1,k,k,禁煙室がなかったので、部屋がタバコ臭くて残念でした。,,,1,,,,
512,103,2,p,p,部屋はゆったりとしていて良かったです。,,,1,,,,
513,103,3,p,p,ホテルの雰囲気も良かったです,1,,,,,,
,,,,,,,,,,,,
514,104,1,Z,Z,夫と二人で利用させていただきました。,,,,,,,1
515,104,2,p,p,できたときからとても気になっていた建物だったのですが、やっと利用できて、感激でした☆,,,,,,,1
516,104,3,p,p,フロントの方の対応がとてもよかったです。,1,,,,,,
517,104,4,Z,Z,ありがとうございました。,,,,,,,1
518,104,5,p,p,朝食バイキングも種類が豊富で楽しかったです。,,,,,,1,
519,104,6,yk,k,アメニティに綿棒が欲しかったな～というのと、ベッドのきしみ、マットレスの薄さがきになりました。,,,,1,1,,
520,104,7,p,p,でも広くてきれいで、とても気持ちよく泊まれました。,,,,,,,1
521,104,8,Z,Z,お世話になりました。,,,,,,,1
522,104,9,kp,Z,私にはちょっと高いお買い物だったけど、また何か特別な日にでも機会があったら使いたいです。,,,,,,,1
,,,,,,,,,,,,
523,105,1,p,p,新しいホテルだけあってすごくキレイでした。,,,,,,,1
524,105,2,p,p,お風呂は洗い場が別にあるので、小さな子供連れには便利です。,,,,,1,,
525,105,3,p,p,ディズニーグッズのお店もあるので、混雑の中ディズニーでお買い物しなくてもお土産程度のものならホテルのお店で十分でした。,,,,1,,,
526,105,4,k,k,エレベーターが中央にしかなく、お部屋が端の方だったので、子供をつれての移動がちょっと大変でした。,,,1,,,,
527,105,5,kp,e,大浴場は展望というわりには景色は窓が曇って見えませんでしたが、お風呂が湯温を変えて３種類用意されていたので、暑いのが苦手な子供には便利でした。,,,,,1,,
528,105,6,p,p,安いプランで利用しましたがとても快適に過ごせました。,,,,,,,1
529,105,7,Z,Z,またディズニーに行く時には利用したいです。,,,,,,,1
,,,,,,,,,,,,
530,106,1,k,k,窓のカーテンを開けると景色が見えず、隣のビルの壁のみが窓のすぐ向うに見える、とても居心地の良くない部屋を提供されました。,,1,1,,,,
531,106,2,k,k,耐えられずに部屋の変更を希望したところ、２階の景色が良くない部屋に変更していただきました。,1,,,,,,
532,106,3,k,k,私の携帯番号はホテルに届けて有るのに、このような条件の悪い部屋になるとは事前に一言の連絡もありませんでした。,1,,,,,,
533,106,4,k,k,何故同じ室料でこのような違いが有るのでしょうか？,1,,,,,,
534,106,5,Z,Z,他のホテル様の多くは、部屋からの眺望が良くない部屋や低層階といった条件の悪い部屋は他の部屋に比べて安く提供されています。,1,,,,,,
535,106,6,yk,k,安ければ部屋が悪くても気にしないお客様や安い部屋に泊まり宿泊手当てを浮かせたい出張サラリーマンに安く提供すれば良いでしょうし、そうでないお客様に対してこれらの条件の悪い部屋を条件の良い部屋と同じ料金で提供する事はお客様に対して非常に失礼です。,1,,,,,,
536,106,7,y,y,料金体系の見直しを直ちに行ってください。,1,,,,,,
,,,,,,,,,,,,
537,107,1,p,e,全て良かったのですが、一点だけ？？？,,,,,,,1
538,107,2,Z,Z,が有りました。,,,,,,,1
539,107,3,Z,e,貸し切り風呂の天井にカメラのようなものがありました。,,,,,1,,
540,107,4,k,k,別に見られて困ることもないのですが、あまり良い気はしませんし、やはり落ち着きません。,,,,,,,1
541,107,5,k,k,あれは一体何なのでしょうか？,,,,,,,1
,,,,,,,,,,,,
542,108,1,Z,p,夫婦で記念日のため以前から何度も宿泊をし、お気に入りだったので、今回も利用させていただきました。,,,,,,,1
543,108,2,Z,Z,旦那は初めての利用です。,,,,,,,1
544,108,3,Z,p,私が一番好きなのは、『風情がある』です。,1,,,,,,
545,108,4,p,p,ロビーには、三味線の芸者がおり和みました。,1,,,,,,
546,108,5,k,k,残念だったのが目的の一つであります、食事のビーフシチューがなくなっていたことにショックでした。,,,,,,1,
547,108,6,p,e,あれが美味しくて何度も利用した理由です。,,,,,,1,
548,108,7,k,k,残念でなりません。,,,,,,,1
549,108,8,k,k,ワインも付いたのですが辛すぎて口に合いませんでした。,,,,,,1,
550,108,9,y,y,スパークリングワインとかあれば嬉しかったです。,,,,,,1,
551,108,10,k,k,勿体無い。,,,,,,,1
552,108,11,Z,Z,あとサウナ。,,,,,1,,
553,108,12,Z,Z,ピンクソルト。,,,,,1,,
554,108,13,y,y,女性の私、入りたかった…。,,,,,,,1
555,108,14,y,y,時間で交換とかあると、使いやすい。,,,,,,,1
556,108,15,k,k,付け加え、使用時間の無さにはがっかり。,,,,,1,,
557,108,16,k,Z,夜は早く、朝は遅くに始まる。,,,,,1,,
558,108,17,k,k,ほとんど使えなかった。,,,,,1,,
559,108,18,k,k,宿泊する人でサウナ使用だと、慌ただしく気にして入らなければないのは頂けない。,,,,,1,,
560,108,19,y,y,絶景の渓谷、もう少しライトあった方が綺麗であった。,,,,,1,,
561,108,20,k,k,残念。,,,,,,,1
562,108,21,p,p,しかし、おもてなしは十分であり仲居さんもとてもフレンドリーでした。,1,,,,,,
563,108,22,p,p,初めての旦那も喜んでました。,,,,,,,1
564,108,23,Z,Z,また伺いまーす。,,,,,,,1
,,,,,,,,,,,,
565,109,1,k,k,隣部屋で深夜まで話し声がうるさく不愉快であった。,,,1,,,,
566,109,2,y,y,掃除などを考慮して続き部屋となったのでしょうが、当日は宿泊客も少なく間に一部屋空けるとかの工夫が欲しかった。,1,,1,,,,
567,109,3,pk,e,夕食は量、品数ともに価格を考慮すれば満足のいくものであったが、朝食は遅かったせいか品切れの料理があり残念な気分でした。,,,,,,1,
568,109,4,pk,e,全体としては雰囲気も良く、高台で眺めも申し分なくコストパフォーマンスの高い宿泊施設と思います（壁が薄いのはもんだい！！）。,,,,,,,1
,,,,,,,,,,,,
569,110,1,p,p,新しいホテルですので、設備面は合格点です。,,,,1,,,
570,110,2,p,p,立地も国分町近くなので、遅くなっても食事を取るのが楽です。,,1,,,,,
571,110,3,p,p,サービス面については他の方からは厳しい意見も多い様ですが、熱心に対応しようという姿勢が感じられ、好感を持ちました。,1,,,,,,
572,110,4,k,k,但し、ホテルの格には未だ追い付けていないかと。,1,,,,,,
573,110,5,y,y,もっと洗練されると良いですね。,1,,,,,,
574,110,6,k,k,それと、やはり朝食はイマイチでした。,,,,,,1,
575,110,7,k,k,品数は普通に有りましたが、料理そのものが素人の料理の様でした。,,,,,,1,
,,,,,,,,,,,,
576,111,1,p,p,ステーションホテルの名のとうり駅の真ん前で、迷わずに行けてよかったです。,,1,,,,,
577,111,2,p,p,遍路の途中なので、部屋に洗濯機と乾燥機が付いているのはとてもありがたく、連泊しました。,,,,1,,,
578,111,3,py,k,トイレと風呂が別なのもよかったのですが、独立した風呂ならば洗面器や風呂椅子があれば、もっとリラックスできるんじゃないかな？と思いました。,,,,,1,,
579,111,4,p,p,早朝に発つので食事は摂りませんでしたが、フロントの女性が前日に「コーヒーだけでも飲まれては」なんて言ってくださって、その言葉だけで満足しましたよ。,,,,,,1,
580,111,5,Z,o,次回に行くときは、時間にゆとりのあるスケジュールを組んで、朝食をいただきたいと思います。,,,,,,1,
,,,,,,,,,,,,
581,112,1,p,p,お風呂、とっても快適でした。,,,,,1,,
582,112,2,k,k,ただ、バスロープ、ラウンジでの飲み物（座るとお水とメニューが運ばれてくる）等、追加でお金がかかりやすい環境かなと思いました。,,,,1,1,,
583,112,3,p,p,そのつもりでいけば、それ以外は本当に快適です。,,,,,,,1
,,,,,,,,,,,,
584,113,1,Z,Z,11月22日に宿泊しました。,,,,,,,1
585,113,2,p,p,フロントのスタッフには良く対応していただきとても感謝しております。,1,,,,,,
586,113,3,p,p,立地条件も良く、とても良い旅になりました。,,1,,,,,
587,113,4,p,p,朝食も讃岐うどんの他にもメニューがあって良かったのです。,,,,,,1,
588,113,5,k,k,ただ、味噌汁がインスタントで自分で作らないといけない事が残念でした。,,,,,,1,
589,113,6,ye,e,あと、浴場があると良かったなと思いましたが、価格とのバランスを考えれば満足です。,,,,,1,,
590,113,7,Z,Z,機会があればまた利用したいです。,,,,,,,1
,,,,,,,,,,,,
591,114,1,Z,Z,お正月に宿泊しました。,,,,,,,1
592,114,2,e,e,部屋自体はいたって普通のビジネスホテルという感じです。,,,1,,,,
593,114,3,k,k,狭いです。,,,1,,,,
594,114,4,p,p,しかしサービスは今まで泊まったどのホテルよりもよかったです！,1,,,,,,
595,114,5,p,p,洗濯機や乾燥機が自由に使えたり、コーヒーサービスがあったり、今回利用はしていませんがヒーリングルームがあったり、と大変充実していました。,,,,1,,,
596,114,6,p,p,また、お正月ということでカウントダウンパーティがあったのですが、食事のサービスあり、ビンゴ大会あり、神社への送迎あり・・・。,,,,,,1,
597,114,7,p,p,全て無料でした。,1,,,,,,
598,114,8,kp,e,水戸駅から少し歩きますが、それでもまた利用したいと思えるホテルでした。,,1,,,,,
,,,,,,,,,,,,
599,115,1,p,p,フロントの人は感じがよかったです。,1,,,,,,
600,115,2,k,k,ただ洗面所のホーローがはげていたり、ドライヤーを使ってそのままにしておいて帰ってくるとそのままの状態でした。,,,,1,,,
601,115,3,y,y,一応コードとかたばねておいて欲しかったです少々改善ですね。,,,,1,,,
602,115,4,p,p,ただ、このお値段で駅にも近い、また利用するかもです。,,1,,,,,
603,115,5,p,o,朝も付いてますしね,,,,,,1,
,,,,,,,,,,,,
604,116,1,pkp,e,大人二人、幼児二人の家族四人で泊まりました風呂は一階の露天風呂、二階の檜風呂がよかったです幼児の食事は少し多いかなと思いましたが、おいしくいただきましたまた、利用させていただきたいと思いました,,,,1,1,1,
,,,,,,,,,,,,
605,117,1,Z,Z,前回も利用させていただいたので、今回も宿泊させていただきました。,,,,,,,1
606,117,2,k,k,鍵を預ける際のフロントの方の対応がやや気になりました。,1,,,,,,
607,117,3,p,k,前回のフロントの方対応がとても好印象だったので、少しがっかりでした。,1,,,,,,
608,117,4,p,p,他はよかったと思います。,,,,,,,1
,,,,,,,,,,,,
609,118,1,pk,k,駅は近いけど道路を横断するのが不便ですね。,,1,,,,,
610,118,2,ek,k,部屋は安いので文句ないけど隣の音がうるさかった。,,,1,,,,
,,,,,,,,,,,,
611,119,1,p,p,コンビニが２階にありとても便利。,,1,,,,,
612,119,2,p,Z,食事なしでも駅周辺にたくさんお店があり困ることはない。,,1,,,,,
613,119,3,p,p,４階のお風呂もよかった。,,,,,1,,
614,119,4,k,k,部屋は狭く、ベッドもとても幅が細かった。,,,1,,,,
615,119,5,Z,k,備え付けのドライヤーも昔風の壁についているものなので、女性で気になる人は持参したほうがいいでしょう。,,,,1,,,
,,,,,,,,,,,,
616,120,1,Z,Z,7日間のウィークリープランでした。,,,,,,,1
617,120,2,k,k,シャンプーが１日分、タオルやシーツも取替え有料というのが厳しかった。,,,,1,,,
618,120,3,y,y,せめて、シャンプーを設置し、タオルも７日の内一度は交換可能だとよかった。,,,,1,,,
619,120,4,kp,p,新丸子は停車せずに通過してしまうダイヤが多いが、街は好き。,,1,,,,,
620,120,5,p,p,食事する場所もあるし、スーパーも24時間やってるので便利でした。,,1,,,,,
621,120,6,k,k,インターネットの繋がりが、あまりにも遅く、途中で切断されてしまうことが毎日でした。,,,,1,,,
622,120,7,y,k,これは最悪でしたので、早急に改善を願う。,,,,,,,1
,,,,,,,,,,,,
623,121,1,e,e,仕事での関係で、翌朝方近くの到着になったのですが、深夜に到着時刻を何度も電話をいただきました。,1,,,,,,
624,121,2,e,e,言葉にはださないものの、「まだつかないのか。」という感じがありありとわかる電話でした。,1,,,,,,
625,121,3,k,e,到着後にもフロントで「会計の関係で、早く到着してくれないと困る。」というようなことを言われました。,1,,,,,,
626,121,4,Z,Z,今まで、仕事場から近いこともあり、頻繁に利用させていただきました。,,1,,,,,
627,121,5,k,k,当日にフロントの方にも直接申し上げましたが、上記のように、客に不快感を平気で与えるようなホテルは、今後は利用しませんし、他の方へも利用をおすすめしません。,1,,,,,,
,,,,,,,,,,,,
628,122,1,Z,Z,"12月31日,1/1、宿泊しました。",,,,,,,1
629,122,2,Z,k,暗くなってからレンタカーで参りましたので、本当にこの道？と着くまでは不安でした。。。,,1,,,,,
630,122,3,p,p,でも到着してみると、見晴らし良く、静かで、お買い物やお食事に出るのも、車ならすぐで、気に入りました！,,1,,,,,
631,122,4,p,p,連泊特典でスパも利用し放題、ランチもついて、とってもお得でした。,,,,1,1,,
632,122,5,p,p,また、餅つきなどのイベントもあり、つきたてのお餅に刻んだ黒糖をかけたのが、とってもおいしかったです！！,,,,,,1,
633,122,6,p,p,きな粉より、シャリシャリ感があって、いいですねー。,,,,,,1,
634,122,7,Z,Z,８０歳の母と一緒なのでお正月は和風温泉って思ってましたが、スパ！,,,,,1,,
635,122,8,p,p,良かったです。,,,,,1,,
636,122,9,p,p,母も、岩盤浴も気に入り、ベッドの方が寛げたと喜んでいました。,,,,,1,,
637,122,10,p,p,スタッフや駐車場のおじちゃんの対応も親切で、気持ち良く過ごせました。,1,,,,,,
638,122,11,Z,Z,ありがとうございました。,,,,,,,1
639,122,12,p,Z,また、是非、利用したいです！！,,,,,,,1
,,,,,,,,,,,,
640,123,1,k,k,ボディソープがなくて石鹸だったのが今一。,,,,1,,,
,,,,,,,,,,,,
641,124,1,yk,k,部屋は少し広いが段差はやめてほしいベットはダブルタイプだが、テレビの方に座るためか少し傾いていた車の騒音より電車の走行音の方が気になった１泊４５００円位が妥当じゃないでしょうか,,,1,,,,
,,,,,,,,,,,,
642,125,1,Z,Z,2月13日から2泊しました。,,,,,,,1
643,125,2,p,p,とにかく抜群の立地とマンションのような開放的な構造が気に入りました。,,1,,,,,
644,125,3,Z,Z,次回行くときも利用したいと思います。,,,,,,,1
645,125,4,k,k,クレームではありませんが、初日はパジャマと歯ブラシが色分けされていたのに、2日めは同色だったのが残念でした。,,,,1,,,
646,125,5,k,k,とくにパジャマは女性用と思われるサイズだったのでちょっと窮屈でした。,,,,1,,,
,,,,,,,,,,,,
647,126,1,Z,Z,1月12日に宿泊しました。,,,,,,,1
648,126,2,p,p,とにかく部屋がとてもきれいでした。,,,1,,,,
649,126,3,Z,Z,まさか靴を脱ぐとは思いませんでした。,,,1,,,,
650,126,4,p,p,清潔感がありとてもいいです。,,,1,,,,
651,126,5,k,k,ただし、朝食は薄味で私の口にはあいませんでした。,,,,,,1,
,,,,,,,,,,,,
652,127,1,Z,Z,１２月１５日宿泊しました。,,,,,,,1
653,127,2,p,p,氷点下の外に出ることもなくホテルに行け、道外人としては助かります。,,1,,,,,
654,127,3,p,p,シャワーも水量があり、体が冷えることもありませんでした。,,,,,1,,
655,127,4,k,k,ただ、朝１１時チェックアウトまで部屋にいましたが、９時過ぎから掃除等の音が気になりました。,,,1,,,,
,,,,,,,,,,,,
656,128,1,Z,Z,二泊で利用させていただきました。?,,,,,,,1
657,128,2,Z,Z,枕が選べる?,,,1,,,,
658,128,3,Z,Z,掛け布団とシーツが一体化?,,,,1,,,
659,128,4,Z,Z,空気清浄機が設置されている?,,,,1,,,
660,128,5,p,p,朝食がおいしい?,,,,,1,,
661,128,6,p,p,お水のカップベンダーなどが非常に良かったと思います。,,,,1,,,
662,128,7,y,y,あとコンビニがわかりやすければ最高です。,,1,,,,,
,,,,,,,,,,,,
663,129,1,p,p,公共の宿なので、リーズナブルな価格です。,,,,,,,1
664,129,2,k,k,ただ、夕食に出かけるところが無く、お酒を飲む場合はタクシーが必要です。,,1,,,,,
665,129,3,k,k,そのあたりを聞いても、地図や説明がアバウトで、少々戸惑ってしまいました。,,1,,,,,
666,129,4,y,y,夕食のお勧めがあればよかったです。,1,,,,,,
,,,,,,,,,,,,
667,130,1,p,Z,熟睡できる布団のベッドで満足しています。,,,1,,,,
668,130,2,k,k,２階のエレベーター前、横浜アリーナの情報掲示で、CONCERTTOURとあるべきところ、CONSERTTOURとなっていました。,,,,1,,,
669,130,3,k,k,ＳがＣの間違いだと思います。,,,,,,,1
670,130,4,y,y,ホテルの質について、こう言うところでも評価されてしまう可能性もゼロではないので、お気をつけ下さい。,,,,,,,1
671,130,5,Z,Z,新横浜界隈のホテルの苛烈なまでの顧客争奪戦、がんばってください。,,,,,,,1
,,,,,,,,,,,,
672,131,1,Z,Z,２月１９日～２１日まで宿泊しました。,,,,,,,1
673,131,2,p,p,施設は、綺麗でよかったと思います。,,,,,,,
674,131,3,p,p,和室もありくつろげました。,,,1,,,,
675,131,4,Z,Z,ただ、１日目の食事が、宿泊客が私たちだけだったせいでしょうか？,,,1,,,,
676,131,5,k,k,手を抜いたというかなんどいうか・・・２日目と比べるとまったく違ってそれは、がっかりでした。,,,,,,1,
677,131,6,k,Z,２日目は、量が多すぎるくらい。,,,,,,1,
678,131,7,k,k,部屋は、廊下を歩くほかのお客の足音がけっこう響き、気になりました。,,,1,,,,
679,131,8,k,k,子どもが、走り回るとつらいかも。,,,1,,,,
680,131,9,Z,Z,宿泊する保護者の方は、他の人に気をつかったほうがいいでしょう。,,,1,,,,
,,,,,,,,,,,,
681,132,1,p,p,千葉中央駅近くでリーズナブルに泊まれて、助かりました。,,,,,,,1
682,132,2,k,k,ルートインといえば大浴場ということでゆっくりお風呂につかろうと思ったのですが、ちょっと込んでいて少し残念でした。,,,,,1,,
683,132,3,y,y,朝食の時間が6時30分だと助かります。,,,,,,1,
,,,,,,,,,,,,
684,133,1,kp,e,朝食のご飯が柔らかすぎ以外はとてもよかった。,,,,,,1,
685,133,2,p,p,frontの対応も親切でした。,1,,,,,,
,,,,,,,,,,,,
686,134,1,p,p,出張利用でしたが部屋と設備には満足でした。,,,1,1,,,
687,134,2,p,p,部屋の風呂サイズも洗面台もベッドゆったりとしており、液晶テレビも満足でした。,,,1,1,,,
688,134,3,p,p,バスタオル類が見当たらずフロントに連絡したら、すぐに持参してもらえました。,,,,1,,,
689,134,4,p,p,コンビニ付きも便利。,,,1,,,,
690,134,5,p,p,アパホテルさんに特有の大浴場付きも有り難い内容でした。,,,,,1,,
691,134,6,k,k,しかし、東京駅構内から長距離移動して京葉線に乗り換えが必要であり、各駅停車しか停まらない潮見駅という立地条件については不安が残りました。,,1,,,,,
692,134,7,k,k,翌日の電車時間を確認して徒歩も含めた移動時間を計算しておかないと不安があります。,,1,,,,,
693,134,8,k,k,東京駅前の日本橋アパホテルの立地位置と、当ホテルの新しく清潔な内容と比較して、次回の利用方法についてはちょっと微妙なところも残ります。,,1,,,,,
,,,,,,,,,,,,
694,135,1,Z,Z,12月25日に宿泊しました。,,,,,,,1
695,135,2,p,p,予定より早くチェックインしたのですが、スタッフの対応がよかったです。,1,,,,,,
696,135,3,kp,e,部屋は天井が低い気がしましたが、名古屋城の正面に位置し夜間ライトアップが見られたので立地は満足です。,,,1,,,,
697,135,4,ke,e,バスルーム＆バスタブが狭い感じがしましたが、費用対効果を考えるとクレームをつけるほどのことでもない気がします。,,,,,1,,
698,135,5,p,p,また、駐車場無料という点もよかったです。,1,,,,,,
699,135,6,Z,Z,機会があればまた利用させていただきます。,,,,,,,1
700,135,7,Z,Z,ありがとうございました。,,,,,,,1
,,,,,,,,,,,,
701,136,1,pk,k,有料テレビ券つきでこの価格は格安ですただ有料テレビが他のホテルがアダルトと通常の映画と両方あるのにここはアダルトだけでちょっとだけ残念でした。,,,,1,,,
702,136,2,pk,k,ネット環境が快適で良かったのですが、仕事でつかっていてホームページをアップロードしていたら、アクセス数制限で一度とまってしまいました。,,,,1,,,
703,136,3,y,y,もう少しだけこの制限を緩やかにした方が仕事には使いやすいと思います。,,,,1,,,
704,136,4,ekp,e,お風呂はこの価格なら仕方がないことですがかなり狭めでしたただ新しく清潔です。,,,,,1,,
705,136,5,e,e,部屋に電話がないのはびっくりしましたが、その分コスト削減と言うことで理解できます。,,,,1,,,
706,136,6,k,k,エレベーターが一台のみで階段が外にしか通じていないのでちょっと藤生でした。,,,1,,,,
707,136,7,Z,Z,来年も利用させていただきたいと思います。,,,,,,,1
,,,,,,,,,,,,
708,137,1,k,k,よく覚えていませんが部屋はぼろぼろでした。,,,1,,,,
,,,,,,,,,,,,
709,138,1,k,k,少し残念だったのは、朝、布団を片付けるという電話がきたと思ったら、電話を切る前にドアのしつこいノックと呼びかけがあり、不快な目覚めになったことです。,1,,,,,,
710,138,2,y,y,何時ころに片付けにくるのか事前に伝えてもらえるといいと思います。,1,,,,,,
711,138,3,k,k,また、食事が終わってから片付けに来るまでに一時間ほどかかるのも残念でした。,,,,,,1,
712,138,4,p,p,食事はおいしかったです。,,,,,,1,
,,,,,,,,,,,,
713,139,1,p,p,部屋は清潔で、広く、快適でした。,,,1,,,,
714,139,2,kp,e,チェックインの際に待たされましたが、それ以外は全て◎！,1,,,,,,
715,139,3,p,p,大変満足しました。,,,,,,,1
,,,,,,,,,,,,
716,140,1,p,p,東京都心部から30分圏内でこの価格はかなりお得感があります。,,1,,,,,
717,140,2,p,p,館内も綺麗で静かで良かったです。,,,1,,,,
718,140,3,p,p,特にベットのコーナーラックはメガネや携帯などの小物置きに重宝します。,,,,1,,,
719,140,4,p,p,朝食も美味しくいただけました。,,,,,,1,
720,140,5,p,p,朝食会場の担当の方、元気があってよかったです。,,,,,,,
721,140,6,pk,e,部屋が上層階なので見晴らしは良かったのですが、夜景はかなり寂しい感じです。,,,1,,,,
722,140,7,k,k,難点は朝、直射日光がまぶしくてブラインドを下ろしても駄目、カーテンを閉め切らないと机でパソコンが打てないほどまぶしかったです。,,,1,,,,
723,140,8,Z,Z,今の時期でこのまぶしさだと夏場はもっと大変なのかな？,,,,,,,1
,,,,,,,,,,,,
724,141,1,k,k,エレベータが遅すぎる。,,,,1,,,
725,141,2,k,k,大浴場は、入り口のガラス張りの部分から見えそうでイヤでした。,,,,,1,,
,,,,,,,,,,,,
726,142,1,pk,e,お風呂も入れて良かったです、駐車場が無料ならいうことないのですが,,,,,1,,
,,,,,,,,,,,,
727,143,1,p,p,大変満足でした。,,,,,,,1
728,143,2,p,p,特にホテルの従業員の態度がいつも笑顔で◎でした。,1,,,,,,
729,143,3,y,y,ひとつ要望ですがビールの自動販売機をホテル内に設置してくれたら尚良かったです。,1,,,,,,
,,,,,,,,,,,,
730,144,1,pk,k,駅からも近くて部屋も良かったんですが、『昼１２時から翌日の昼１２時までのロングステイプラン』なのに、普通に１１時（通常のチェックアウト時間）にお掃除の方がノックしてきました。,,1,,,,,
731,144,2,Z,Z,ドア越しにこちらから、その旨を伝えました。,1,,,,,,
732,144,3,k,k,掃除の方に連絡をおこなっていないのでしょうか？,1,,,,,,
733,144,4,k,k,お客が言うまで判らないプランとは一体どういう事ですか？,1,,,,,,
734,144,5,k,k,急かされた気分で残念です。,1,,,,,,
735,144,6,y,y,連絡などのホテルとしての体制もしっかりして頂きたいです。,1,,,,,,
,,,,,,,,,,,,
736,145,1,Z,Z,旧ワシントン時代から泊まっています。,,,,,,,1
737,145,2,k,k,施設をそのまま買い取ったからこそ、安い宿泊料金だと思っていますが、施設の老朽化、汚れなども目立つと思います（部屋のカーペット、廊下の壁など）。,,,1,1,,,
738,145,3,y,y,時期に大規模なメンテナンスをしてもいいのではと思います,1,,,,,,
,,,,,,,,,,,,
739,146,1,Z,Z,平潟のどぶ汁を食べに行って利用しました。,,,,,,,1
740,146,2,p,p,水戸市内での場所が便利で、朝食付きが安いので決めました。,,1,,,,,
741,146,3,ek,k,部屋はまあまあだが、廊下は全館暖房ではなくて寒い、廊下の床の敷物はちょっと薄汚れているなどの問題点はありますが、この値段で泊まれるならば、上出来の宿泊施設で、普通のホテル設備にして、値上げはしないで欲しい。（^o^）,,,1,1,,,
742,146,4,p,p,ワハハハ・・・おかげさんで、夕食は居酒屋で、タラバガニの足を堪能できました。,,,,,1,,
743,146,5,k,k,ただ、開かない非常口があったのは、問題。,,,,,,,1
744,146,6,k,k,何か理由があるのだと思うが、困りますね。,,,,,,,1
745,146,7,Z,Z,ウエルカムドリンクで、部屋でビールやワインを頂きました。,,,,,,1,
746,146,8,p,p,気の利いたサービスと思います。,1,,,,,,
