上品,たたずまい
教室,開催
庭園,お花見
お花見,花火
ツアー,旅行
旅行,コンサート
様々,行事
行事,充実
充実,生活
生活,サービス
サービス,月額
月額,利用
高額,印象
印象,設備
設備,納得
納得,老人ホーム
高級,マンション
マンション,イメージ
イメージ,通常
通常,メニュー
メニュー,設備
設備,正直
印象,予約
予約,本格的
本格的,フレンチ
フレンチ,準備
準備,訪問
体調,好み
好み,料理
印象,高層
高層,エレベーター
エレベーター,元気
印象,フロント
フロント,ホテルマン
看護師,24時間
病院,面
面,すごい
最寄り駅,小田急線
小田急線,成城学園前
成城学園前,遠い
遠い,バス停
バス停,近い
近い,周り
周り,公園
住宅街,位置
管理,庭園
周り,春
春,美しい
美しい,桜
桜,並木
世田谷,住宅地
住宅地,自宅
自宅,近い
近い,祖母
祖母,見学
見学,重厚
重厚,外観
外観,綺麗
綺麗,建物
建物,一見
窓,光
光,日
日,中
木々,都会
都会,自然
自然,場所
場所,メニュー
メニュー,豊富
豊富,自分
自分,気分
友達,一緒に
サービス,外観
外観,オシャレ
オシャレ,大学
エントランス,空間
空間,居室
居室,広い
広い,電子レンジ
電子レンジ,IH
IH,調理
設置,床暖房
床暖房,掃除
掃除,隅々
隅々,丁寧
面,万全
万全,体制
ビリヤード,シアター
シアター,ルーム
ルーム,様々
様々,娯楽
設備,退屈
退屈,知人
知人,年配
年配,シアター
シアター,ルーム
ルーム,映画
映画,程度
程度,活用
活用,かなり
家庭,利用
方々,ホテルマン
ホテルマン,笑顔
笑顔,礼儀
礼儀,洗練
利用,知人
会社,グループ
相当,覚悟
覚悟,ナイト
規模,大変
大変,大きい
大きい,洋風
洋風,雰囲気
雰囲気,建物
建物,敷地
敷地,四季
庭園,共有
共有,スペース
トレーニング,ルーム
ビリヤード,麻雀
麻雀,専用
居室,洋風
洋風,造り
ナースコール,センサー
設備,月
窓,クリーニング
クリーニング,サービス
人,やすい
やすい,共有
共有,スペース
スペース,友達
友達,レ
レ,Creation
教室,充実
充実,写真
笑顔,素敵
素敵,成城学園前
成城学園前,専用
専用,シャトルバス
シャトルバス,中庭
中庭,手入れ
手入れ,サロン
サロン,高級
友人,歓談
歓談,スペース
スペース,使用
使用,スカイラウンジ
スカイラウンジ,富士山
富士山,都会
パーティー,利用
利用,花
クリーニング,ショップ
夏,多摩川
多摩川,花火
企画,麻雀
麻雀,囲碁
囲碁,ルーム
ルーム,ビリヤード
ビリヤード,ルーム
ルーム,本格的
本格的,映画鑑賞
映画鑑賞,シアター
シアター,ルーム
ルーム,充実
充実,一流
コンサート,企画
企画,季節
季節,庭園
鑑賞,花火
花火,鑑賞
鑑賞,クリスマス
有名,レストラン
レストラン,バスツアー
バスツアー,毎日
毎日,企画
価格,高い
高い,コンシェルジュ
サービス,総合
総合,相応
相応,価格
メニュー,治療
サービス,他
24時間,常駐
テラス,防犯
防犯,センサー
センサー,住居
体制,充実
併設,医師
24時間,常駐
常駐,診療
診療,健康
健康,相談
医療,サービス
サービス,医師
医師,看護師
看護師,居室
体制,シャトルバス
シャトルバス,成城学園前
成城学園前,アクセス
アクセス,便利
便利,周辺
周辺,四季
四季,桜
桜,並木
並木,環境
駅,近い
近い,専用
専用,バス
バス,緑
印象,建物
建物,内装
内装,すばらしい
すばらしい,職員
職員,話
話,テレビ
重厚,サロン
サロン,趣味
個室,内装
内装,ベランダ
ベランダ,キッチン
料理,自分
自分,食堂
食堂,気分
気分,訪問
訪問,ランチ
ランチ,おいしい
おいしい,予約
個室,用意
用意,料理
食堂,好き
風呂,大浴場
必要,認知症
認知症,医療
階,見学
本人,自分
廊下,老人
老人,職員
必要,ロイヤル
ロイヤル,ケア
一般,居
共用,スペース
スペース,見学
見学,囲碁
体操,ダンス
ダンス,映画鑑賞
映画鑑賞,ビリヤード
エレベーター,退屈
退屈,館内
館内,方々
方々,活き活き
活き活き,普通
普通,年金
年金,無理
料理,種類
種類,気分
気分,味
味,美味しい
明るい,案内
案内,質問
質問,館内
必要,ロイヤル
ロイヤル,ケア
ケア,駅
駅,近い
近い,緑
環境,レストラン
レストラン,スーパー
スーパー,散歩
散歩,お酒
お酒,食堂
食堂,仲間
清潔,日当たり
眺め,悪い
悪い,共有
共有,スペース
スペース,車椅子
車椅子,移動
移動,考慮
考慮,風呂
風呂,清潔
清潔,リハビリ
リハビリ,関係
花見,紅葉
紅葉,四季
四季,行事
行事,ひな祭り
ひな祭り,クリスマス
薄味,品数
明るい,看護師
看護師,近隣
近隣,病院
病院,連携
連携,安心感
安心感,自宅
自宅,基本的
基本的,自動車
訪問,距離感
距離感,悪い
悪い,母親
豪華,エントランス
エントランス,レストラン
レストラン,居心地
図書,趣味
風呂,清潔
清潔,居住
居住,スペース
元気,駅
駅,シャトルバス
シャトルバス,利用
利用,元気
元気,楽しみ
素晴らしい,運営
高額,利用
利用,体験
体験,ランチ
ランチ,メニュー
メニュー,種類
種類,いい
いい,事前
事前,予約
予約,好き
好き,バランス
盛り,きれい
きれい,案内
案内,人
看護師,常駐
常駐,病院
病院,提携
提携,緊急時
シャトルバス,最寄り駅
最寄り駅,不便
周り,緑
大変,丁寧
丁寧,親切
親切,室
室,個室
個室,トイレ
レストラン,完備
参加,可能
可能,介護施設
高い,相応
シェフ,腕
腕,確か
確か,付属
付属,レストラン
レストラン,味
味,満足
満足,誕生日
誕生日,一緒に
細やか,配慮
配慮,不便
不便,自宅
自宅,車
車,外
外,中
印象,義父
義父,本人
本人,娘
娘,妻
妻,幸せ
幸せ,気持ち
義父,お金
義父,妻
妻,不満
細かい,私たち
私たち,自宅
自宅,商店街
商店街,駅
駅,近い
近い,見舞い
見舞い,便利
清潔感,空間
雰囲気,老人ホーム
老人ホーム,綺麗
綺麗,場所
場所,来客
来客,楽しい
楽しい,場所
場所,生活
生活,万が一
万が一,体調
ケア,場所
月,種類
種類,ルーム
ルーム,サークル
サークル,参加
サークル,仲間
仲間,友達
友達,自分
生活,納得
納得,価格
価格,料理
料理,レストラン
レストラン,季節
季節,料理
料理,味付け
味付け,おいしい
中,いろいろ
いろいろ,タイプ
タイプ,料理
特別,料理
料理,毎日
同行,病院
病院,受診
連絡,早い
早い,ロビー
ロビー,掃除
すごい,綺麗
作り,体
体,不自由
不自由,利用
利用,バリアフリー
バリアフリー,作り
栄養,管理
健康,管理
健康,重視
重視,味
空間,勘違い
勘違い,手すり
手すり,バリアフリー
バリアフリー,車椅子
方々,快適
快適,気
気,段差
段差,様々
様々,季節
退屈,無い
無い,高い
高い,設備
設備,安い
安い,それなり
栄養士,お話
お話,栄養士
栄養士,管理
管理,メニュー
メニュー,細かい
細かい,バランス
方途,笑顔
笑顔,会話
信頼,足
足,一流
空間,ライブラリー
ライブラリー,ビリヤード
ビリヤード,ルーム
明るい,印象
印象,バリアフリー
バリアフリー,料理
料理,自分
自分,キッチン
バス,ルーム
大浴場,楽しい
楽しい,行事
行事,お正月
囲碁,クラブ
クラブ,ストレッチ
ストレッチ,体操
カラオケ,社交ダンス
社交ダンス,卓球
開催,普通
普通,高級
高級,相場
キレイ,いろいろ
いろいろ,楽しみ
楽しみ,妥当
毎日,メニュー
メニュー,苦手
方々,いろいろ
定期,健康診断
健康診断,建物
建物,診療所
診療所,緊急
緊急,コール
コール,室内
室内,24時間
方途,インターホン
インターホン,安心感
安心感,医療機関
医療機関,提携
街,近い
近い,イメージ
お出かけ,場所
見学,宿泊
宿泊,体験
体験,安い
電話,丁寧
丁寧,説明
説明,高級
優しい,大変
大変,満足
満足,知り合い
車椅子,プライバシー
高い,高級
おいしい,親切
親切,病院
いい,駅
駅,近い
近い,いい
きれい,豪華
豪華,マンション
マンション,外観
外観,高級
館内,四季
四季,花
花,一つ
一つ,一つ
一つ,家具
家具,こだわり
こだわり,ビリヤード
ビリヤード,大浴場
大浴場,レストラン
レストラン,館内
豪華,生活
生活,季節
サークル,活動
説明,居室
居室,キッチン
キッチン,自分
自分,料理
料理,レストラン
減塩,気
気,健康
健康,いい
提供,味
味,美味しい
美味しい,大変
大変,素敵
方々,親切
親切,礼儀
礼儀,正しい
正しい,教育
教育,地域
地域,協力
協力,医療機関
医療機関,館内
館内,看護師
徒歩,周り
買い物,便利
元気,人
人,アクセス
広い,キッチン
キッチン,浴室
浴室,トイレ
トイレ,収納
収納,ベランダ
ベランダ,広い
広い,開放的
開放的,緊急時
緊急時,連絡
共有,スペース
スペース,エントランス
雰囲気,レストラン
レストラン,予約
図書館,演奏会
大浴場,母
母,風呂
風呂,映画
中心,サークル
サークル,趣味
趣味,大切
大切,いい
いい,カラオケ
カラオケ,ルーム
ルーム,母
母,大変
大変,支払
高い,設備
設備,妥当
妥当,月額
月額,概算
概算,レストラン
レストラン,月
有名,和食
和食,調理
調理,料理長
料理長,おいしい
おいしい,予約
遊び,膳
膳,用意
用意,子供
子供,膳
膳,用意
用意,個室
プライベート,快適
快適,母
母,友達
廊下,挨拶
老人,雰囲気
相談,気軽
気軽,母
母,やすい
高額,住宅
住宅,上品
お話し,風景
風景,庭
庭,広い
広い,綺麗
綺麗,整備
整備,気持ち
気持ち,いい
いい,母
母,自立
職員,看護師
看護師,常勤
常勤,協力
協力,医療機関
医療機関,相談
周辺,住宅街
騒音,道
きつい,近い
近い,駅
増尾駅,スーパー
無い,母
母,アクセス
アクセス,母
母,友人
友人,紹介
見学,南
担当,丁寧
丁寧,説明
空間,豪華
豪華,ロビー
ロビー,ラウンジ
ラウンジ,中庭
中庭,来訪
来訪,歓談
歓談,居室
居室,ベランダ
ベランダ,開放
開放,キッチン
キッチン,料理
サークル,活動
方々,コミュニケーション
共有,ダイニング
ダイニング,四季
四季,食材
食材,使用
使用,料理
明るい,親切
生活,地域
地域,協力
協力,医療機関
医療機関,連携
連携,必要
必要,通院
通院,入院
増尾駅,閑静
閑静,住宅街
住宅街,立地
立地,スーパー
スーパー,ドラッグストア
飲食店,増尾駅
増尾駅,徒歩
徒歩,便利
居室,日当たり
ジム,プール
映画鑑賞,様々
様々,種類
退屈,無い
高め,設備
充実,総合
総合,コスト
コスト,ホーム
ホーム,栄養
栄養,バランス
バランス,カロリー
カロリー,献立
献立,建物
建物,自体
自体,大きい
大きい,清潔感
病院,提携
提携,送迎
送迎,訪問
訪問,診療
診療,必要
近い,お見舞い
お見舞い,電車
電車,車
車,おすすめ
おすすめ,建物
建物,古い
古い,掃除
掃除,日当たり
周辺,木々
バリアフリー,廊下
廊下,広い
広い,確保
確保,館内
館内,車椅子
車椅子,移動
移動,個室
個室,広い
広い,室
室,確保
確保,プライバシー
プライバシー,確保
確保,音
音,静か
静か,共用
共用,スペース
スペース,風呂
風呂,プール
プール,充実
充実,リハビリ
リハビリ,設備
充実,価格
価格,駅
駅,専用
専用,バス
バス,カラオケ
カラオケ,卓球
卓球,囲碁
種類,クラブ活動
活動,元気
元気,人
人,参加
状態,参加
参加,親族
親族,利用
利用,機会
関係,月
月,老人ホーム
都市銀行,不自由
不自由,味
味,通常
通常,特別
特別,流動食
流動食,カバー
カバー,栄養
栄養,バランス
バランス,栄養
栄養,配慮
配慮,キッチン
キッチン,自分
質,高い
高い,人
忙しい,ホーム
ホーム,お話
お話,機会
機会,定員
職員,要介護
確保,関係
関係,病院
病院,ケア
ケア,センター
センター,連絡
連絡,体制
郊外,駅
駅,車
車,場所
場所,周辺
不便,病院
病院,通院
通院,便利
日常生活,自由度
仕事,人
長い,全館
全館,南
日当たり,最高
最高,玄関
玄関,ホール
ホール,吹き抜け
吹き抜け,シャンデリア
シャンデリア,高級
高級,食堂
食堂,中央
中央,グランドピアノ
グランドピアノ,テーブル
テーブル,いす
いす,個室
個室,風呂
風呂,人
人,広い
自由,プール
プール,スポーツ
スポーツ,ジム
ジム,趣味
完備,館内
館内,ケア
必要,人
基本的,場所
場所,車いす
車いす,移動
移動,個室
立地,環境
バス,アクセス
館内,行事
行事,誕生
誕生,映画
映画,コンサート
コンサート,外出
外出,行事
希望,バス
バス,日帰り
日帰り,旅行
旅行,コンサート
定期,満足
医師,看護師
看護師,同行
万全,夫婦
安い,金額
金額,食堂
食堂,利用
利用,利用
利用,食費
必要,ケア
介護保険,制度
支払い,銀行口座
引き落とし,館内
館内,銀行
銀行,ＡＴＭ
ＡＴＭ,お金
お金,便利
便利,食堂
食堂,メニュー
メニュー,基本
基本,種類
メニュー,基本的
基本的,定食
栄養,バランス
バランス,カロリー
カロリー,計算
ケア,人
人,食堂
食堂,メニュー
メニュー,ケア
基本的,自立
自立,生活
生活,人
高い,教育
教育,レベル
高い,人
教育,基本的
満足度,高い
高い,自立
自立,老人
老人,マンション
看護,職員
病気,総合病院
総合病院,送迎
職員,付き添い
異変,自室
24時間,制度
制度,トイレ
トイレ,感知
職員,体制
体制,近い
車,東京
横浜,インター
インター,便利
便利,総合病院
総合病院,大手
大手,スーパー
スーパー,徒歩圏内
徒歩圏内,コンビニ
コンビニ,商店街
商店街,自然環境
自然環境,緑
土地,変化
変化,天気
訪問,基本的
基本的,自由
用意,基本的
基本的,自立
自立,人
生活,自由度
自由度,大きい
大きい,食堂
居室,自由
自由,高級
高級,タイプ
タイプ,老人ホーム
内装,外観
外観,魅力
魅力,内装
内装,すごい
毎日,生活
生活,快適
関係,設備
設備,完備
完備,イメージ
設備,いい
いい,食堂
食堂,ホール
ホール,広い
広い,魅力
魅力,駐車場
駐車場,車
車,高齢者
高齢者,利用
利用,オススメ
オススメ,各種
各種,レ
レ,Creation
Creation,カルチャー
カルチャー,関係
充実,健康
健康,行事
参加,いい
いい,高級
設定,特別
請求,お金
お金,余裕
余裕,無い
無い,きつい
駐車場,有料
有料,利用
利用,いい
いい,高級
高級,雰囲気
職員,サービス
雰囲気,24時間
24時間,体制
体制,医療
医療,サービス
サービス,嬉しい
嬉しい,緊急
システム,完備
完備,診療
診療,設備
公園,快適
快適,環境
環境,最寄り駅
バス,利用
車,お見舞い
お見舞い,便利
便利,内装
内装,綺麗
印象,廊下
廊下,幅
移動,やすい
やすい,サークル
サークル,行事
行事,充実
充実,季節
季節,お花見
大会,演奏会
演奏会,魅力
魅力,音楽
音楽,嬉しい
充実,楽しい
メニュー,食
印象,喫茶
魅力的,建物
建物,自体
自体,外
外,光
光,やすい
明るい,印象
印象,快適
快適,看護師
看護師,24時間
24時間,体制
体制,健康
健康,維持
大切,安心感
安心感,横浜
遠い,立地
横浜,見学
見学,介護施設
高級,マンション
マンション,清潔感
清潔感,高層
高層,眺め
高級,マンション
マンション,感覚
感覚,近い
近い,フロント
フロント,食べ物
食べ物,飲み物
コンビニ,便利
便利,高め
高め,設定
設定,環境
環境,価値
価値,十分
十分,見学
目,笑顔
笑顔,心
心,温かい
温かい,一流
ホスピタリティ,手厚い
手厚い,魅力
魅力,ヴィンテージ
ヴィンテージ,Villa
Villa,横浜
横浜,介護施設
介護施設,高級
高級,マンション
広い,夫婦
見学,広め
広め,窓
非常,快適
快適,生活
生活,共有
共有,スペース
スペース,多目的ホール
多目的ホール,ダイニング
ダイニング,ホール
ホール,エントランス
エントランス,ホール
ホール,充分
充分,広い
広い,確保
ルーム,せり
教室,体操
体操,教室
教室,ダンス
ダンス,ヨガ
ヨガ,教室
教室,種類
種類,レ
レ,Creation
Creation,用意
用意,小さい
小さい,図書館
図書館,併設
方々,元気
皆さん,活動
活動,参加
参加,姿
姿,印象
広い,タイプ
タイプ,レベル
レベル,有料老人ホーム
有料老人ホーム,価格
価格,高額
充実,素晴らしい
素晴らしい,サービス
サービス,内容
内容,仕方がない
レストラン,ダイニング
ダイニング,ルーム
料理,見学
朝食,夕食
夕食,和食
和食,洋食
洋食,メニュー
メニュー,選択
選択,料理
料理,バランス
バランス,メニュー
メニュー,多彩
多彩,美味しい
美味しい,満足
満足,腕
生活,雰囲気
行事,用意
用意,忙しい
非常,魅力
方々,お話
お話,丁寧
丁寧,質問
看護師,24時間
24時間,ケア
ケア,体制
体制,緊急時
緊急時,医療
医療,体制
体制,健康
健康,相談
相談,定期的
定期的,医師
医師,訪問
訪問,医療
緊急,ボタン
ボタン,医療行為
提携,介護施設
周辺,環境
環境,緑
最適,環境
利用,アクセス
アクセス,非常
非常,面倒
面倒,電車
電車,バス
バス,タクシー
タクシー,利用
利用,おすすめ
清潔,大変
高層,日当たり
日当たり,眺め
広い,大変
大変,広い
広い,両親
両親,老人ホーム
老人ホーム,数多い
数多い,見学
見学,高額
高額,物件
物件,居室
居室,大変
大変,狭い
リビング,ベッド
ベッド,ルーム
ルーム,窓
窓,外
外,バルコニー
大変,開放
開放,広い
広い,居室
居室,新しい
両親,不満
前面,室内
室内,スポーツ
スポーツ,大型
ヨガ,指導
指導,スポーツ
スポーツ,好き
好き,両親
両親,評価
活動,様々
様々,活動
活動,様子
様子,見学
見学,折り紙
折り紙,綺麗
定期的,開催
開催,様子
写真,皆さん
皆さん,活き活き
活き活き,好感
好感,両親
高い,覚悟
覚悟,新築
最寄り駅,距離
距離,電車
コスト,物件
ナイト,嫌
嫌,ＡＴＭ
メニュー,試食
試食,評価
ダイニング,ルーム
レストラン,大変
テーブル,大きい
大きい,テーブル
テーブル,距離
距離,車椅子
車椅子,ダイニング
ダイニング,ルーム
メニュー,季節
季節,おいしい
おいしい,メニュー
メニュー,料理
料理,メニュー
メニュー,悪い
悪い,意味
メニュー,飽き
シンプル,和食
和食,洋食
洋食,メニュー
メニュー,積極的
積極的,評価
評価,見学
方々,皆さん
皆さん,笑顔
笑顔,挨拶
挨拶,大変
大変,好感
老人,車椅子
車椅子,場面
声,丁寧
丁寧,お仕事
大変,信頼
方々,評価
評価,居室
印象,数
感想,感想
看護,体制
体制,特別
提携,病院
病院,定期的
定期的,医師
医師,訪問
訪問,診察
診察,24時間
24時間,体制
体制,看護師
常駐,ヴィンテージ
ヴィンテージ,Villa
Villa,横浜
介護施設,体制
体制,意味
意味,価格
価格,比較
比較,医療
医療,体制
体制,充実
医療,体制
体調,サポート
サポート,ケア
ケア,体制
面,大きい
大きい,信頼
横浜市,土地
駅前,周辺
周辺,土地
土地,高い
高い,土地
土地,自体
介護施設,駅
駅,バス
バス,移動
移動,必要
必要,場所
ヴィンテージ,Villa
Villa,横浜
散歩,駅
駅,運動
運動,両親
両親,辛い
辛い,車
車,移動
駅,場所
居室,広い
広い,バリアフリー
バリアフリー,車椅子
車椅子,生活
生活,やすい
やすい,バルコニー
バルコニー,景色
清々しい,景色
気持ち,定期的
情報誌,の・ようなもの
職員,声
声,情報誌
短歌,祖母
情報誌,職員
職員,声
感謝,シャンデリア
シャンデリア,グランドピアノ
グランドピアノ,きれい
きれい,室内
室内,バリアフリー
バリアフリー,車椅子
車椅子,やすい
やすい,トイレ
トイレ,広い
広い,体
体,不自由
不自由,お花見
お花見,季節感
季節感,日帰り
日帰り,旅行
旅行,映画
映画,体操
体操,毎日
毎日,企画
企画,短歌
短歌,サークル
サークル,活動
活動,盛ん
高い,お金
お金,質
質,美味しい
美味しい,遊び
遊び,人
人,一緒
一緒,シャンデリア
シャンデリア,グランドピアノ
グランドピアノ,レストラン
レストラン,豪華
豪華,レストラン
レストラン,玄関
季節,花
花,素敵
車,病院
病院,送迎
送迎,定期的
定期的,通院
通院,必要
通院,最寄り駅
最寄り駅,バス
バス,バス
バス,本数
駅,遠い
広い,普通
普通,マンション
マンション,一室
一室,広い
広い,キッチン
キッチン,風呂
夫婦,自宅
正直,マンション
マンション,値段
値段,自分
自分,予約
予約,食堂
健康,人
方々,自由
自由,外出
心配り,いい
いい,万が一
最寄り,駅
駅,バス
バス,不便
不便,近所
近所,スーパー
買い物,いい
夫婦,面倒
面倒,人
人,人
人,病気
面倒,システム
マンション,いい
いい,フロント
フロント,共用
共用,スペース
スペース,お見舞い
子供,一緒
一緒,気兼ね
ルーム,自分
自分,好き
好き,プログラム
運動,利用
利用,欲しい
欲しい,祖母
祖母,身体
利用,横浜市
料金,高め
高め,地域
地域,他
他,比較
サービス,質
質,妥当
妥当,駐車場
レストラン,ダイニング
ダイニング,ルーム
ルーム,利用
利用,ケア
人,メニュー
メニュー,用意
担当,親切
お願い,ケア
24時間,常駐
システム,個人
プラン,健康
健康,維持
維持,サポート
サポート,大変
大変,都心
都心,近い
近い,立地
立地,色々
色々,お見舞い
お見舞い,体験
生活,雰囲気
館内,きれい
きれい,清掃
清掃,清潔
清潔,居室
居室,広い
場所,清潔
清潔,屋上
屋上,ベランダ
ベランダ,景色
挨拶,気持ちよい
気持ちよい,教育
教育,場所
場所,ＪＲ
ＪＲ,阪神
阪神,駅
駅,交通
交通,至便
至便,便利
便利,医療
医療,神鋼
神鋼,病院
印象,定期的
催し,開催
開催,趣味
退屈,工夫
高級,維持
維持,月額
月額,料金
料金,設備
設備,妥当
妥当,栄養士
栄養士,管理
バランス,料理
挨拶,元気
元気,気持ち
情報,共有
共有,様子
様子,人数
人数,大手
管理,十分
十分,配置
配置,グループ
グループ,神鋼
神鋼,病院
病院,連携
可能,様子
様子,ＪＲ
ＪＲ,阪神
阪神,駅
駅,徒歩圏内
交通,至便
至便,場所
場所,立地
立地,元気
元気,人
場所,近隣
近隣,住宅
公園,買い物
最高,立地
立地,大手
様々,タイプ
きれい,一般
一般,マンション
マンション,居室
居室,充実
充実,設計
設計,共有
共有,スペース
スペース,豪華
豪華,高級
高級,毎日
毎日,様々
様々,活動
映画,鑑賞
鑑賞,様々
様々,催し
月々,高級
設備,サービス
高い,味
味,栄養
栄養,バランス
バランス,素晴らしい
素晴らしい,設備
設備,豪華
豪華,生活
生活,相談
相談,サービス
サービス,細やか
細やか,大変
大変,気
気,安全
快適,クリニック
併設,毎日
毎日,生活
生活,非常
配慮,専門
設備,サービス
サービス,立地
場所,阪急
近い,大阪
大阪,簡単
簡単,周辺
スーパー,公園
公園,生活
生活,清潔
管理,様子
盛りだくさん,催し
催し,案内
高め,内容
立派,栄養士
教育,センター
病院,連携
経営,グループ
グループ,病院
交通,至便
至便,街
街,周り
静か,環境
環境,買い物
場所,感心
雰囲気,いい
いい,高級
高級,中
中,明るい
明るい,暗い
リゾートホテル,ロビー
ロビー,本人
本人,うれしい
うれしい,値段
値段,高い
居室,広い
広い,きれい
きれい,楽しみ
楽しみ,身体
身体,機能
機能,維持
維持,いろいろ
いろいろ,工夫
工夫,アクティビティ
アクティビティ,庭
魅力,正直
正直,無理
無理,料金
料金,設定
設定,高額
高額,価値
負担,月々
月々,料金
料金,年金
年金,カバー
カバー,範囲
明るい,天井
見学,楽しみ
楽しみ,比較
比較,敷地
敷地,医療機関
看護士,大勢
大勢,心強い
心強い,本人
リハビリ,必要
必要,常勤
常勤,リハビリ
リハビリ,担当
いい,アクセス
駅,近い
近い,雰囲気
雰囲気,立地
訪問,便利
便利,ゴージャス
ゴージャス,言葉
言葉,設備
用意,知人
知人,夫婦
タイプ,居室
居室,洋風
洋風,造り
造り,内部
内部,キッチン
キッチン,個室
個室,専用
専用,トイレ
トイレ,入浴
入浴,設備
設備,完備
完備,スペース
スペース,手すり
手すり,バリアフリー
バリアフリー,高齢者
高齢者,快適
快適,環境
環境,共用
共用,非常
非常,豪華
豪華,ゆとり
ゆとり,造り
造り,廊下
廊下,広い
専用,設備
設備,居室
居室,用意
定期的,開催
開催,室内
充実,外出
金額,自体
自体,非常
非常,高額
設備,充実
充実,高級
高級,高い
価格,設定
高級,マンション
マンション,イメージ
イメージ,いい
いい,知人
知人,両親
種類,価格
価格,知人
支援,サービス
サービス,最初
必要,月額
月額,管理費
管理費,各種
各種,サービス
サービス,食費
食費,合計
合計,当たり
安い,可能
可能,当たり
当たり,食費
食費,価格
価格,質
質,料理
料理,提供
提供,提供
提供,夕食
夕食,拝見
豪華,美味しい
楽しみ,希望
介助,サービス
サービス,可能
可能,高級
サービス,内容
内容,文句
面接,研修
研修,サービス
連携,いい
いい,雰囲気
雰囲気,好感
好感,物件
物件,テナント
テナント,部分
部分,クリニック
定期的,往診
往診,健康診断
健康診断,看護師
看護師,24時間
24時間,常駐
常駐,万が一
抜群,内容
内容,提携
提携,病院
病院,搬送
親族,連絡
コール,設備
設備,設備
設備,申し分
申し分,JR
徒歩,距離
距離,お見舞い
お見舞い,車
車,来訪
来訪,可能
可能,公共交通機関
公共交通機関,オーケー株式会社
オーケー株式会社,訪問
訪問,やすい
やすい,印象
印象,周り
周り,高級
高級,閑静
閑静,住宅街
住宅街,駅前
駅前,タクシー
住環境,抜群
抜群,ホーム
ホーム,隣接
隣接,形
形,コンビニ
買い物,便利
便利,居室
居室,広い
広い,高級
一室,室内
室内,明るい
明るい,清掃
清掃,清潔感
設置,IH
IH,調理
調理,便利
高級,作り
作り,テーブル
こだわり,バリアフリー
バリアフリー,設計
万全,季節
知人,母親
楽しい,話
話,母親
知人,逆
逆,母親
高い,知人
知人,納得
納得,通常
拝見,なかった
喫茶,設備
豪華,親切
程度,話し相手
季節感,さまざま
さまざま,催し
催し,頭
色々,手芸
いい,金額
金額,高め
高め,きれいな
種類,好き
好き,メニュー
メニュー,いい
いい,人
希望,メニュー
メニュー,豪華
豪華,メニュー
元気,明るい
階,様々
自室,歩行
歩行,車いす
車いす,足
足,心配
心配,アクセス
アクセス,いい
いい,電車
夏,大変
大変,スーパー
スーパー,病院
元気,一般
一般,居室
キッチン,居室
居室,雰囲気
雰囲気,普通
普通,マンション
マンション,素晴らしい
素晴らしい,中庭
ラウンジ,ラウンジ
ラウンジ,天井
天井,高い
窓,開放的
開放的,空間
空間,中庭
高級,リゾートホテル
リゾートホテル,ロビー
プロ,演奏家
演奏家,コンサート
コンサート,開催
春,秋
秋,バスツアー
バスツアー,外出
祭り,雰囲気
雰囲気,皆さん
皆さん,友人
金額,計算
納得,メイン
メイン,ダイニング
個室,プライベート
プライベート,ダイニング
ダイニング,友人
友人,私たち
私たち,一緒に
ダイニング,ルーム
ルーム,高級
個室,雰囲気
雰囲気,メイン
メイン,ダイニング
ダイニング,空間
レストラン,印象
印象,通常
通常,メニュー
メニュー,和食
定食,洋食
定食,昼食
昼食,夕食
定食,メニュー
必要,いろいろ
いろいろ,皆さん
皆さん,自立
自立,生活
必要,サービス
サービス,心配り
皆さん,明るい
クリニック,テナント
室内,緊急
緊急,コール
コール,室内
感知,看護師
センサー,大変
大変,充実
充実,協力
協力,病院
病院,総合病院
総合病院,神鋼
神鋼,病院
病院,バス
バス,阪神
阪神,阪急
阪急,JR
JR,最寄駅
最寄駅,元気
元気,距離
距離,そば
コンビニ,便利
便利,外観
外観,内装
内装,サービス
サービス,内容
印象,元気
元気,素晴らしい
病院,安心感
皆さん,生活
生活,満足
満足,姿
姿,印象
印象,エントランス
エントランス,豪華
豪華,ラウンジ
雰囲気,趣味
月,催し物
催し物,四季
一般的,価格
内容,妥当
妥当,金額
金額,栄養士
栄養士,メニュー
メニュー,提供
プライベート,ダイニング
ダイニング,希望
細かい,専門
充実,神鋼
神鋼,ケア
ケア,ライフ
ライフ,有料老人ホーム
有料老人ホーム,心配
理学療法士,訓練
訓練,JR
中間,周辺
周辺,店
店,充実
充実,病院
付き添い,生活
生活,丁寧
豪華,やすい
やすい,洗練
中心,歩行
プログラム,サークル
サークル,活動
活動,季節
季節,お出かけ
お出かけ,多彩
企画,楽しい
楽しい,地域
たたずまい,価格
価格,高い
栄養,管理
管理,見た目
見た目,美しい
美しい,料理
料理,来客
料理,用意
用意,満足
優しい,一緒に
一緒に,お見舞い
お見舞い,祖母
祖母,車椅子
車椅子,ほしい
残念,神鋼
神鋼,病院
病院,連携
連携,看護師
看護師,体制
体制,駅
駅,便利
建物,自体
きれい,外観
外観,高級
高級,マンション
内装,共有
共有,スペース
スペース,中心
中心,優雅
優雅,デザイン
デザイン,清掃
清掃,年配
年配,快適
快適,配慮
配慮,老人
老人,ケア
ケア,ホーム
主,皆さん
皆さん,一緒に
全員,歌
歌,元気
価格,印象
比較,エリア
エリア,マンション
マンション,値段
値段,普通
